Link,SIC Code,Description,Assessments,Recommendations,Recommended $ Savings
https://iac.university/indexSic/206,206,Sugar And Confectionery Products,126,973,"$17,759,613"
https://iac.university/indexSic/207,207,Fats And Oils,52,377,"$19,656,303"
https://iac.university/indexSic/208,208,Beverages,418,"3,155","$66,687,503"
https://iac.university/indexSic/209,209,Misc. Food And Kindred Products,396,"2,835","$49,891,410"
https://iac.university/indexSic/211,211,Cigarettes,5,53,"$3,198,410"
https://iac.university/indexSic/212,212,Cigars,2,12,"$262,744"
https://iac.university/indexSic/213,213,Chewing And Smoking Tobacco,7,52,"$910,566"
https://iac.university/indexSic/214,214,Tobacco Stemming And Redrying,5,46,"$962,854"
https://iac.university/indexSic/221,221,"Broadwoven Fabric Mills, Cotton",53,386,"$7,267,853"
https://iac.university/indexSic/222,222,"Broadwoven Fabric Mills, Manmade",35,263,"$4,385,760"
https://iac.university/indexSic/223,223,"Broadwoven Fabric Mills, Wool",29,214,"$3,434,803"
https://iac.university/indexSic/224,224,Narrow Fabric Mills,19,143,"$1,342,411"
https://iac.university/indexSic/225,225,Knitting Mills,75,522,"$7,530,217"
https://iac.university/indexSic/226,226,"Textile Finishing, Except Wool",65,480,"$9,922,030"
https://iac.university/indexSic/227,227,Carpets And Rugs,82,635,"$17,553,651"
https://iac.university/indexSic/228,228,Yarn And Thread Mills,96,642,"$9,547,307"
https://iac.university/indexSic/229,229,Miscellaneous Textile Goods,119,879,"$18,430,001"
https://iac.university/indexSic/231,231,"Men's And Boys' Suits, Coats, And Overcoats",19,126,"$617,039"
https://iac.university/indexSic/232,232,"Men's And Boys' Furnishings, Work Clothing",112,772,"$4,518,438"
https://iac.university/indexSic/233,233,"Women's, Misses', And Juniors' Outerwear",28,186,"$500,615"
https://iac.university/indexSic/234,234,"Women's, Misses', Children's, And Infants'",16,95,"$420,030"
https://iac.university/indexSic/235,235,"Hats, Caps, And Millinery",8,70,"$200,708"
https://iac.university/indexSic/236,236,"Girls', Children's, And Infants' Outerwear",14,88,"$398,369"
https://iac.university/indexSic/237,237,Fur Goods,1,17,"$146,909"
https://iac.university/indexSic/238,238,Miscellaneous Apparel And Accessories,31,197,"$1,452,082"
https://iac.university/indexSic/239,239,Misc. Fabricated Textile Products,118,832,"$10,661,238"
https://iac.university/indexSic/241,241,Logging,6,36,"$1,402,047"
https://iac.university/indexSic/242,242,Sawmills And Planing Mills,338,"2,398","$80,040,469"
https://iac.university/indexSic/243,243,"Millwork, Plywood & Structural",354,"2,455","$47,553,117"
https://iac.university/indexSic/244,244,Wood Containers,37,256,"$2,476,983"
https://iac.university/indexSic/245,245,Wood Buildings And Mobile Homes,76,504,"$10,014,754"
https://iac.university/indexSic/249,249,Miscellaneous Wood Products,189,"1,381","$33,044,075"
https://iac.university/indexSic/251,251,Household Furniture,224,"1,591","$19,931,439"
https://iac.university/indexSic/252,252,Office Furniture,86,612,"$7,272,804"
https://iac.university/indexSic/253,253,Public Building & Related Furniture,50,377,"$6,111,856"
https://iac.university/indexSic/254,254,Partitions And Fixtures,80,603,"$5,085,103"
https://iac.university/indexSic/259,259,Miscellaneous Furniture And Fixtures,33,257,"$2,292,613"
https://iac.university/indexSic/261,261,Pulp Mills,10,64,"$4,962,987"
https://iac.university/indexSic/262,262,Paper Mills,99,756,"$47,105,857"
https://iac.university/indexSic/263,263,Paperboard Mills,46,388,"$12,820,269"
https://iac.university/indexSic/265,265,Paperboard Containers And Boxes,439,"3,518","$58,062,584"
https://iac.university/indexSic/267,267,Misc. Converted Paper Products,396,"3,063","$47,121,208"
https://iac.university/indexSic/271,271,Newspapers,143,"1,073","$8,904,296"
https://iac.university/indexSic/272,272,Periodicals,9,69,"$495,545"
https://iac.university/indexSic/273,273,Books,50,375,"$4,762,867"
https://iac.university/indexSic/274,274,Miscellaneous Publishing,18,138,"$4,807,943"
https://iac.university/indexSic/275,275,Commercial Printing,440,"3,288","$40,972,759"
https://iac.university/indexSic/276,276,Manifold Business Forms,44,360,"$2,693,637"
https://iac.university/indexSic/277,277,Greeting Cards,7,51,"$507,182"
https://iac.university/indexSic/278,278,Blankbooks And Bookbinding,27,190,"$1,143,693"
https://iac.university/indexSic/279,279,Printing Trade Services,12,79,"$614,224"
https://iac.university/indexSic/281,281,Industrial Inorganic Chemicals,147,"1,054","$35,898,116"
https://iac.university/indexSic/282,282,Plastics Materials And Synthetics,181,"1,398","$32,849,188"
https://iac.university/indexSic/283,283,Drugs,208,"1,541","$48,460,376"
https://iac.university/indexSic/284,284,"Soap, Cleaners, And Toilet Goods",125,948,"$15,434,741"
https://iac.university/indexSic/285,285,Paints And Allied Products,92,741,"$7,775,416"
https://iac.university/indexSic/286,286,Industrial Organic Chemicals,125,920,"$76,616,698"
https://iac.university/indexSic/287,287,Agricultural Chemicals,40,254,"$19,525,179"
https://iac.university/indexSic/289,289,Miscellaneous Chemical Products,194,"1,493","$29,479,644"
https://iac.university/indexSic/291,291,Petroleum Refining,20,144,"$17,365,072"
https://iac.university/indexSic/295,295,Asphalt Paving And Roofing Materials,128,893,"$19,953,630"
https://iac.university/indexSic/299,299,Misc. Petroleum And Coal Products,41,309,"$13,639,916"
https://iac.university/indexSic/301,301,Tires And Inner Tubes,33,242,"$13,484,298"
https://iac.university/indexSic/302,302,Rubber And Plastics Footwear,7,49,"$429,991"
https://iac.university/indexSic/305,305,Hose & Belting & Gaskets & Packing,148,"1,176","$14,883,691"
https://iac.university/indexSic/306,306,"Fabricated Rubber Products, Nec",240,"1,993","$24,534,208"
https://iac.university/indexSic/308,308,"Miscellaneous Plastics Products, Nec","1,699","13,071","$204,368,184"
https://iac.university/indexSic/311,311,Leather Tanning And Finishing,19,144,"$1,379,551"
https://iac.university/indexSic/313,313,Footwear Cut Stock,4,27,"$84,238"
https://iac.university/indexSic/314,314,"Footwear, Except Rubber",46,327,"$2,671,859"
https://iac.university/indexSic/315,315,Leather Gloves And Mittens,3,21,"$124,899"
https://iac.university/indexSic/316,316,Luggage,5,31,"$352,042"
https://iac.university/indexSic/317,317,Handbags And Personal Leather Goods,5,30,"$1,623,682"
https://iac.university/indexSic/319,319,"Leather Goods, Nec",6,45,"$100,729"
https://iac.university/indexSic/321,321,Flat Glass,36,257,"$23,419,225"
https://iac.university/indexSic/322,322,"Glass And Glassware, Pressed Or Blown",57,458,"$17,537,363"
https://iac.university/indexSic/323,323,Products Of Purchased Glass,100,740,"$13,072,207"
https://iac.university/indexSic/324,324,"Cement, Hydraulic",35,221,"$37,091,838"
https://iac.university/indexSic/325,325,Structural Clay Products,83,585,"$14,336,316"
https://iac.university/indexSic/326,326,Pottery And Related Products,49,387,"$6,181,163"
https://iac.university/indexSic/327,327,"Concrete, Gypsum, And Plaster Products",219,"1,502","$40,036,603"
https://iac.university/indexSic/328,328,Cut Stone And Stone Products,29,177,"$2,503,439"
https://iac.university/indexSic/329,329,Misc. Nonmetallic Mineral Products,166,"1,261","$47,471,576"
https://iac.university/indexSic/331,331,Blast Furnace And Basic Steel Products,263,"2,029","$53,610,102"
https://iac.university/indexSic/332,332,Iron And Steel Foundries,270,"2,016","$61,396,238"
https://iac.university/indexSic/333,333,Primary Nonferrous Metals,32,245,"$7,658,285"
https://iac.university/indexSic/334,334,Secondary Nonferrous Metals,59,469,"$14,379,035"
https://iac.university/indexSic/335,335,Nonferrous Rolling And Drawing,249,"2,014","$58,678,362"
https://iac.university/indexSic/336,336,Nonferrous Foundries (castings),302,"2,368","$56,090,163"
https://iac.university/indexSic/339,339,Miscellaneous Primary Metal Products,141,997,"$14,454,662"
https://iac.university/indexSic/341,341,Metal Cans And Shipping Containers,116,932,"$13,856,240"
https://iac.university/indexSic/342,342,"Cutlery, Handtools, And Hardware",161,"1,176","$14,921,547"
https://iac.university/indexSic/343,343,"Plumbing And Heating, Except Electric",87,701,"$8,681,300"
https://iac.university/indexSic/344,344,Fabricated Structural Metal Products,748,"5,344","$54,422,241"
https://iac.university/indexSic/345,345,"Screw Machine Products, Bolts, Etc.",130,"1,020","$10,898,733"
https://iac.university/indexSic/346,346,Metal Forgings And Stampings,323,"2,574","$48,273,949"
https://iac.university/indexSic/347,347,"Metal Services, Nec",332,"2,486","$25,543,492"
https://iac.university/indexSic/348,348,"Ordnance And Accessories, Nec",48,364,"$5,807,372"
